Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (-275.8 7.5 -417.6)",1,0,99,"(-275.8, 7.5, -417.6)"
Spawn Point Wander,"Spawn Point (94.9 6.8 -203.7)",1,0,99,"(94.9, 6.8, -203.7)"
Spawn Point Wander,"Spawn Point (-276.0 -1.1 334.3)",1,0,99,"(-276.0, -1.1, 334.3)"
Spawn Point Wander,"Spawn Point (410.8 -5.4 13.4)",1,0,99,"(410.8, -5.4, 13.4)"
Spawn Point Wander,"Spawn Point (375.8 -1.1 -115.3)",1,0,99,"(375.8, -1.1, -115.3)"
Spawn Point Wander,"Spawn Point (-63.1 9.8 -587.3)",1,0,99,"(-63.1, 9.8, -587.3)"
Spawn Point Wander,"Spawn Point (-420.2 12.2 -509.6)",1,0,99,"(-420.2, 12.2, -509.6)"
Spawn Point Wander,"Spawn Point (-277.4 -1.5 329.7)",1,0,99,"(-277.4, -1.5, 329.7)"
Spawn Point Wander,"Spawn Point (368.7 -1.6 -81.7)",1,0,99,"(368.7, -1.6, -81.7)"
Spawn Point Wander,"Spawn Point (-522.8 -2.6 218.6)",1,0,99,"(-522.8, -2.6, 218.6)"
Spawn Point Wander,"Spawn Point (-615.0 14.7 -329.0)",1,0,99,"(-615.0, 14.7, -329.0)"
Spawn Point Wander,"Spawn Point (-63.8 19.2 -233.0)",1,0,99,"(-63.8, 19.2, -233.0)"
Spawn Point Wander,"Spawn Point (-519.5 12.6 -156.3)",1,0,99,"(-519.5, 12.6, -156.3)"
Spawn Point Wander,"Spawn Point (348.8 -0.9 -155.9)",1,0,99,"(348.8, -0.9, -155.9)"
Spawn Point Wander,"Spawn Point (518.4 -20.9 264.3)",1,0,99,"(518.4, -20.9, 264.3)"
Spawn Point Wander,"Spawn Point (-517.3 14.9 -366.0)",1,0,99,"(-517.3, 14.9, -366.0)"
Spawn Point Wander,"Spawn Point (-420.2 11.3 -519.4)",1,0,99,"(-420.2, 11.3, -519.4)"
Spawn Point Wander,"Spawn Point (-174.9 13.6 -649.9)",1,0,99,"(-174.9, 13.6, -649.9)"
Spawn Point Wander,"Spawn Point (-538.4 7.1 157.7)",1,0,99,"(-538.4, 7.1, 157.7)"
Spawn Point Wander,"Spawn Point (-265.8 10.6 -632.2)",1,0,99,"(-265.8, 10.6, -632.2)"
Spawn Point Wander,"Spawn Point (-312.9 14.3 -431.2)",1,0,99,"(-312.9, 14.3, -431.2)"
Spawn Point Wander,"Spawn Point (231.4 26.2 -314.4)",1,0,99,"(231.4, 26.2, -314.4)"
Spawn Point Wander,"Spawn Point (-354.7 1.0 239.6)",1,0,99,"(-354.7, 1.0, 239.6)"
Spawn Point Wander,"Spawn Point (90.3 -15.8 116.2)",1,0,99,"(90.3, -15.8, 116.2)"
Spawn Point Wander,"Spawn Point (-54.1 8.9 -579.4)",1,0,99,"(-54.1, 8.9, -579.4)"
Spawn Point Wander,"Spawn Point (-439.4 15.3 -334.7)",1,0,99,"(-439.4, 15.3, -334.7)"
Spawn Point Wander,"Spawn Point (-140.8 61.5 -206.8)",1,0,99,"(-140.8, 61.5, -206.8)"
Spawn Point Wander,"Spawn Point (-416.2 12.9 -468.8)",1,0,99,"(-416.2, 12.9, -468.8)"
Spawn Point Wander,"Spawn Point (299.0 23.2 -457.4)",1,0,99,"(299.0, 23.2, -457.4)"
Spawn Point Wander,"Spawn Point (371.0 -1.8 -73.3)",1,0,99,"(371.0, -1.8, -73.3)"
Spawn Point Wander,"Spawn Point (-518.7 7.3 145.4)",1,0,99,"(-518.7, 7.3, 145.4)"
Spawn Point Wander,"Spawn Point (-331.5 18.5 -138.7)",1,0,99,"(-331.5, 18.5, -138.7)"
Spawn Point Wander,"Spawn Point (-130.0 9.6 -726.5)",1,0,99,"(-130.0, 9.6, -726.5)"
Spawn Point Wander,"Spawn Point (366.9 18.2 -598.2)",1,0,99,"(366.9, 18.2, -598.2)"
Spawn Point Wander,"Spawn Point (226.4 -8.7 197.5)",1,0,99,"(226.4, -8.7, 197.5)"
Spawn Point Wander,"Spawn Point (318.8 -8.4 352.1)",1,0,99,"(318.8, -8.4, 352.1)"
Spawn Point Wander,"Spawn Point (230.1 26.9 -320.1)",1,0,99,"(230.1, 26.9, -320.1)"
Spawn Point Wander,"Spawn Point (463.7 -12.2 115.7)",1,0,99,"(463.7, -12.2, 115.7)"
Spawn Point Wander,"Spawn Point (101.1 15.6 -762.0)",1,0,99,"(101.1, 15.6, -762.0)"
Spawn Point Wander,"Spawn Point (61.2 9.0 -657.8)",1,0,99,"(61.2, 9.0, -657.8)"
Spawn Point Wander,"Spawn Point (-203.6 1.1 417.3)",1,0,99,"(-203.6, 1.1, 417.3)"
Spawn Point Wander,"Spawn Point (-171.7 14.8 -617.7)",1,0,99,"(-171.7, 14.8, -617.7)"
Spawn Point Wander,"Spawn Point (418.4 -6.2 14.3)",1,0,99,"(418.4, -6.2, 14.3)"
Spawn Point Wander,"Spawn Point (466.0 -15.0 176.3)",1,0,99,"(466.0, -15.0, 176.3)"
Spawn Point Wander,"Spawn Point (-155.2 18.3 -620.4)",1,0,99,"(-155.2, 18.3, -620.4)"
Spawn Point Wander,"Spawn Point (280.8 -11.9 319.3)",1,0,99,"(280.8, -11.9, 319.3)"
Spawn Point Wander,"Spawn Point (-153.0 0.4 434.8)",1,0,99,"(-153.0, 0.4, 434.8)"
Spawn Point Wander,"Spawn Point (-174.5 9.4 -713.9)",1,0,99,"(-174.5, 9.4, -713.9)"
Spawn Point Wander,"Spawn Point (-525.1 -2.6 216.0)",1,0,99,"(-525.1, -2.6, 216.0)"
Spawn Point Wander,"Spawn Point (-539.9 -1.2 294.7)",1,0,99,"(-539.9, -1.2, 294.7)"
Spawn Point Wander,"Spawn Point (-86.9 7.9 -752.7)",1,0,99,"(-86.9, 7.9, -752.7)"
Spawn Point Wander,"Spawn Point (-103.4 23.2 -214.6)",1,0,99,"(-103.4, 23.2, -214.6)"
Spawn Point Wander,"Spawn Point (25.6 11.3 -226.6)",1,0,99,"(25.6, 11.3, -226.6)"
Spawn Point Wander,"Spawn Point (466.8 -14.9 174.3)",1,0,99,"(466.8, -14.9, 174.3)"
Spawn Point Wander,"Spawn Point (-93.0 -1.1 385.3)",1,0,99,"(-93.0, -1.1, 385.3)"
Spawn Point Wander,"Spawn Point (104.0 17.6 -757.7)",1,0,99,"(104.0, 17.6, -757.7)"
Spawn Point Wander,"Spawn Point (-414.2 16.7 -362.9)",1,0,99,"(-414.2, 16.7, -362.9)"
Spawn Point Wander,"Spawn Point (388.5 13.2 -407.3)",1,0,99,"(388.5, 13.2, -407.3)"
Spawn Point Wander,"Spawn Point (-492.4 20.6 -50.2)",1,0,99,"(-492.4, 20.6, -50.2)"
Spawn Point Wander,"Spawn Point (-266.5 6.9 -406.3)",1,0,99,"(-266.5, 6.9, -406.3)"
Spawn Point Wander,"Spawn Point (-532.6 -0.5 254.2)",1,0,99,"(-532.6, -0.5, 254.2)"
Spawn Point Wander,"Spawn Point (157.5 24.4 -690.6)",1,0,99,"(157.5, 24.4, -690.6)"
Spawn Point Wander,"Spawn Point (-523.6 9.9 93.0)",1,0,99,"(-523.6, 9.9, 93.0)"
Spawn Point Wander,"Spawn Point (-155.2 -2.1 181.2)",1,0,99,"(-155.2, -2.1, 181.2)"
Spawn Point Wander,"Spawn Point (-130.6 13.0 -623.2)",1,0,99,"(-130.6, 13.0, -623.2)"
Spawn Point Wander,"Spawn Point (464.8 -14.8 174.3)",1,0,99,"(464.8, -14.8, 174.3)"
Spawn Point Wander,"Spawn Point (-330.9 20.0 -142.3)",1,0,99,"(-330.9, 20.0, -142.3)"
Spawn Point Wander,"Spawn Point (-512.9 12.1 -149.9)",1,0,99,"(-512.9, 12.1, -149.9)"
Spawn Point Wander,"Spawn Point (-409.0 12.6 -513.0)",1,0,99,"(-409.0, 12.6, -513.0)"
Spawn Point Wander,"Spawn Point (442.5 -17.5 261.2)",1,0,99,"(442.5, -17.5, 261.2)"
Spawn Point Wander,"Spawn Point (-526.8 -2.5 216.3)",1,0,99,"(-526.8, -2.5, 216.3)"
Spawn Point Wander,"Spawn Point (-158.7 -4.3 296.5)",1,0,99,"(-158.7, -4.3, 296.5)"
Spawn Point Wander,"Spawn Point (-361.3 1.0 238.0)",1,0,99,"(-361.3, 1.0, 238.0)"
Spawn Point Wander,"Spawn Point (-256.1 27.9 -203.9)",1,0,99,"(-256.1, 27.9, -203.9)"
Spawn Point Wander,"Spawn Point (63.2 -7.6 35.2)",1,0,99,"(63.2, -7.6, 35.2)"
Spawn Point Wander,"Spawn Point (-413.1 16.0 -350.7)",1,0,99,"(-413.1, 16.0, -350.7)"
Spawn Point Wander,"Spawn Point (-611.9 14.7 -331.8)",1,0,99,"(-611.9, 14.7, -331.8)"
Spawn Point Wander,"Spawn Point (-110.0 -12.9 241.0)",1,0,99,"(-110.0, -12.9, 241.0)"
Spawn Point Wander,"Spawn Point (-63.7 9.7 -581.0)",1,0,99,"(-63.7, 9.7, -581.0)"
Spawn Point Wander,"Spawn Point (-544.3 11.0 -438.9)",1,0,99,"(-544.3, 11.0, -438.9)"
Spawn Point Wander,"Spawn Point (135.9 8.5 -665.0)",1,0,99,"(135.9, 8.5, -665.0)"
Spawn Point Wander,"Spawn Point (-308.2 13.8 -411.3)",1,0,99,"(-308.2, 13.8, -411.3)"
Spawn Point Wander,"Spawn Point (-256.6 10.6 -637.5)",1,0,99,"(-256.6, 10.6, -637.5)"
Spawn Point Wander,"Spawn Point (311.3 16.8 -538.2)",1,0,99,"(311.3, 16.8, -538.2)"
Spawn Point Wander,"Spawn Point (414.3 -5.7 13.0)",1,0,99,"(414.3, -5.7, 13.0)"
Spawn Point Wander,"Spawn Point (-254.2 28.2 -207.9)",1,0,99,"(-254.2, 28.2, -207.9)"
Spawn Point Wander,"Spawn Point (279.8 -12.3 314.4)",1,0,99,"(279.8, -12.3, 314.4)"
Spawn Point Wander,"Spawn Point (87.8 -15.9 114.4)",1,0,99,"(87.8, -15.9, 114.4)"
Spawn Point Wander,"Spawn Point (418.0 -6.1 11.9)",1,0,99,"(418.0, -6.1, 11.9)"
Spawn Point Wander,"Spawn Point (-334.6 20.3 -140.9)",1,0,99,"(-334.6, 20.3, -140.9)"
Spawn Point Wander,"Spawn Point (-272.9 23.9 -497.7)",1,0,99,"(-272.9, 23.9, -497.7)"
Spawn Point Wander,"Spawn Point (-260.3 11.3 -631.9)",1,0,99,"(-260.3, 11.3, -631.9)"
Spawn Point Wander,"Spawn Point (-525.1 -2.6 218.2)",1,0,99,"(-525.1, -2.6, 218.2)"
Spawn Point Wander,"Spawn Point (-108.5 10.1 -609.9)",1,0,99,"(-108.5, 10.1, -609.9)"
Spawn Point Wander,"Spawn Point (59.2 8.9 -659.5)",1,0,99,"(59.2, 8.9, -659.5)"
Spawn Point Wander,"Spawn Point (280.4 8.3 -674.5)",1,0,99,"(280.4, 8.3, -674.5)"
Spawn Point Wander,"Spawn Point (-267.2 24.7 -489.1)",1,0,99,"(-267.2, 24.7, -489.1)"
Spawn Point Wander,"Spawn Point (-90.1 -0.5 377.4)",1,0,99,"(-90.1, -0.5, 377.4)"
Spawn Point Wander,"Spawn Point (443.5 -11.4 84.1)",1,0,99,"(443.5, -11.4, 84.1)"
Spawn Point Wander,"Spawn Point (187.1 3.4 -149.6)",1,0,99,"(187.1, 3.4, -149.6)"
Spawn Point Wander,"Spawn Point (269.7 17.0 -758.6)",1,0,99,"(269.7, 17.0, -758.6)"
Spawn Point Wander,"Spawn Point (9.7 15.7 -780.6)",1,0,99,"(9.7, 15.7, -780.6)"
Spawn Point Wander,"Spawn Point (370.8 13.9 -700.1)",1,0,99,"(370.8, 13.9, -700.1)"
Spawn Point Wander,"Spawn Point (369.8 17.6 -597.5)",1,0,99,"(369.8, 17.6, -597.5)"
Spawn Point Wander,"Spawn Point (-359.3 0.9 236.4)",1,0,99,"(-359.3, 0.9, 236.4)"
Spawn Point Wander,"Spawn Point (-413.2 11.7 -522.4)",1,0,99,"(-413.2, 11.7, -522.4)"
Spawn Point Wander,"Spawn Point (-528.9 2.4 233.7)",1,0,99,"(-528.9, 2.4, 233.7)"
Spawn Point Wander,"Spawn Point (-231.2 1.1 400.9)",1,0,99,"(-231.2, 1.1, 400.9)"
Spawn Point Wander,"Spawn Point (310.5 23.0 -523.0)",1,0,99,"(310.5, 23.0, -523.0)"
Spawn Point Wander,"Spawn Point (-507.0 24.6 -276.8)",1,0,99,"(-507.0, 24.6, -276.8)"
Spawn Point Wander,"Spawn Point (-491.5 20.6 -45.2)",1,0,99,"(-491.5, 20.6, -45.2)"
Spawn Point Wander,"Spawn Point (-52.2 7.9 -763.9)",1,0,99,"(-52.2, 7.9, -763.9)"
Spawn Point Wander,"Spawn Point (-271.7 7.4 -418.5)",1,0,99,"(-271.7, 7.4, -418.5)"
Spawn Point Wander,"Spawn Point (312.0 23.0 -487.3)",1,0,99,"(312.0, 23.0, -487.3)"
Spawn Point Wander,"Spawn Point (59.8 8.8 -654.5)",1,0,99,"(59.8, 8.8, -654.5)"
Spawn Point Wander,"Spawn Point (-171.6 1.0 432.3)",1,0,99,"(-171.6, 1.0, 432.3)"
Spawn Point Wander,"Spawn Point (366.8 1.1 0.6)",1,0,99,"(366.8, 1.1, 0.6)"
Spawn Point Wander,"Spawn Point (368.6 16.8 -588.1)",1,0,99,"(368.6, 16.8, -588.1)"
Spawn Point Wander,"Spawn Point (418.5 -6.1 9.0)",1,0,99,"(418.5, -6.1, 9.0)"
Spawn Point Wander,"Spawn Point (-199.9 33.5 -193.5)",1,0,99,"(-199.9, 33.5, -193.5)"
Spawn Point Wander,"Spawn Point (367.1 13.2 -703.0)",1,0,99,"(367.1, 13.2, -703.0)"
Spawn Point Wander,"Spawn Point (-181.3 34.1 -164.1)",1,0,99,"(-181.3, 34.1, -164.1)"
Spawn Point Wander,"Spawn Point (-540.7 -1.1 297.0)",1,0,99,"(-540.7, -1.1, 297.0)"
Spawn Point Wander,"Spawn Point (281.7 8.2 -668.6)",1,0,99,"(281.7, 8.2, -668.6)"
Spawn Point Wander,"Spawn Point (-273.3 -1.6 333.3)",1,0,99,"(-273.3, -1.6, 333.3)"
Spawn Point Wander,"Spawn Point (-615.8 14.7 -334.0)",1,0,99,"(-615.8, 14.7, -334.0)"
Spawn Point Wander,"Spawn Point (-256.8 26.8 -448.3)",1,0,99,"(-256.8, 26.8, -448.3)"
Spawn Point Wander,"Spawn Point (-561.1 15.2 -355.3)",1,0,99,"(-561.1, 15.2, -355.3)"
Spawn Point Wander,"Spawn Point (-252.1 27.0 -205.0)",1,0,99,"(-252.1, 27.0, -205.0)"
Spawn Point Wander,"Spawn Point (-84.2 8.8 -607.8)",1,0,99,"(-84.2, 8.8, -607.8)"
Spawn Point Wander,"Spawn Point (457.3 -11.0 97.5)",1,0,99,"(457.3, -11.0, 97.5)"
Spawn Point Wander,"Spawn Point (-334.0 17.6 -136.2)",1,0,99,"(-334.0, 17.6, -136.2)"
Spawn Point Wander,"Spawn Point (-317.2 14.6 -429.8)",1,0,99,"(-317.2, 14.6, -429.8)"
Spawn Point Wander,"Spawn Point (280.5 8.0 -665.4)",1,0,99,"(280.5, 8.0, -665.4)"
Spawn Point Wander,"Spawn Point (-12.3 13.8 -229.3)",1,0,99,"(-12.3, 13.8, -229.3)"
Spawn Point Wander,"Spawn Point (355.3 -0.3 -91.5)",1,0,99,"(355.3, -0.3, -91.5)"
Spawn Point Wander,"Spawn Point (-39.3 -13.5 348.4)",1,0,99,"(-39.3, -13.5, 348.4)"
Spawn Point Wander,"Spawn Point (135.1 8.5 -174.2)",1,0,99,"(135.1, 8.5, -174.2)"
Spawn Point Wander,"Spawn Point (-93.5 -0.9 382.5)",1,0,99,"(-93.5, -0.9, 382.5)"
Spawn Point Wander,"Spawn Point (-490.5 20.7 -47.0)",1,0,99,"(-490.5, 20.7, -47.0)"
Spawn Point Wander,"Spawn Point (226.5 -8.3 199.0)",1,0,99,"(226.5, -8.3, 199.0)"
Spawn Point Wander,"Spawn Point (-418.8 11.9 -515.2)",1,0,99,"(-418.8, 11.9, -515.2)"
Spawn Point Wander,"Spawn Point (368.9 -1.6 -67.5)",1,0,99,"(368.9, -1.6, -67.5)"
Spawn Point Wander,"Spawn Point (-519.4 7.3 154.6)",1,0,99,"(-519.4, 7.3, 154.6)"
Spawn Point Wander,"Spawn Point (-131.7 28.5 -197.8)",1,0,99,"(-131.7, 28.5, -197.8)"
Spawn Point Wander,"Spawn Point (-517.6 7.3 153.7)",1,0,99,"(-517.6, 7.3, 153.7)"
Spawn Point Wander,"Spawn Point (-509.6 12.0 -147.5)",1,0,99,"(-509.6, 12.0, -147.5)"
Spawn Point Wander,"Spawn Point (2.8 14.8 -777.3)",1,0,99,"(2.8, 14.8, -777.3)"
Spawn Point Wander,"Spawn Point (-441.5 0.2 344.8)",1,0,99,"(-441.5, 0.2, 344.8)"
Spawn Point Wander,"Spawn Point (-538.6 -1.0 297.6)",1,0,99,"(-538.6, -1.0, 297.6)"
Spawn Point Wander,"Spawn Point (-473.3 22.1 -218.4)",1,0,99,"(-473.3, 22.1, -218.4)"
Spawn Point Wander,"Spawn Point (96.4 15.0 -761.1)",1,0,99,"(96.4, 15.0, -761.1)"
Spawn Point Wander,"Spawn Point (230.0 -7.8 200.7)",1,0,99,"(230.0, -7.8, 200.7)"
Spawn Point Wander,"Spawn Point (-294.4 13.8 -419.8)",1,0,99,"(-294.4, 13.8, -419.8)"
Spawn Point Wander,"Spawn Point (-442.6 15.3 -180.7)",1,0,99,"(-442.6, 15.3, -180.7)"
Spawn Point Wander,"Spawn Point (-94.1 -1.3 387.8)",1,0,99,"(-94.1, -1.3, 387.8)"
Spawn Point Wander,"Spawn Point (-252.3 27.5 -207.4)",1,0,99,"(-252.3, 27.5, -207.4)"
Spawn Point Wander,"Spawn Point (299.5 12.6 -566.0)",1,0,99,"(299.5, 12.6, -566.0)"
Spawn Point Wander,"Spawn Point (-416.2 15.8 -434.3)",1,0,99,"(-416.2, 15.8, -434.3)"
Spawn Point Wander,"Spawn Point (-56.0 7.6 -759.4)",1,0,99,"(-56.0, 7.6, -759.4)"
Spawn Point Wander,"Spawn Point (-23.7 9.1 -779.8)",1,0,99,"(-23.7, 9.1, -779.8)"
Spawn Point Wander,"Spawn Point (-616.8 14.5 -324.5)",1,0,99,"(-616.8, 14.5, -324.5)"
Spawn Point Wander,"Spawn Point (-529.6 11.3 86.0)",1,0,99,"(-529.6, 11.3, 86.0)"
Spawn Point Wander,"Spawn Point (518.0 -20.9 260.7)",1,0,99,"(518.0, -20.9, 260.7)"
Spawn Point Wander,"Spawn Point (-492.6 20.6 -48.0)",1,0,99,"(-492.6, 20.6, -48.0)"
Spawn Point Wander,"Spawn Point (-357.6 0.9 237.5)",1,0,99,"(-357.6, 0.9, 237.5)"
Spawn Point Wander,"Spawn Point (-91.3 -0.5 379.4)",1,0,99,"(-91.3, -0.5, 379.4)"
Spawn Point Wander,"Spawn Point (-272.0 -2.1 329.4)",1,0,99,"(-272.0, -2.1, 329.4)"
Spawn Point Wander,"Spawn Point (307.9 -0.6 -159.8)",1,0,99,"(307.9, -0.6, -159.8)"
Spawn Point Wander,"Spawn Point (125.9 0.3 4.9)",1,0,99,"(125.9, 0.3, 4.9)"
Spawn Point Wander,"Spawn Point (-522.7 -2.6 216.6)",1,0,99,"(-522.7, -2.6, 216.6)"
Spawn Point Wander,"Spawn Point (-496.5 5.6 81.5)",1,0,99,"(-496.5, 5.6, 81.5)"
Spawn Point Wander,"Spawn Point (367.7 -1.3 -73.8)",1,0,99,"(367.7, -1.3, -73.8)"
Spawn Point Wander,"Spawn Point (179.0 18.1 -771.4)",1,0,99,"(179.0, 18.1, -771.4)"
Spawn Point Wander,"Spawn Point (72.9 11.9 -220.5)",1,0,99,"(72.9, 11.9, -220.5)"
Spawn Point Wander,"Spawn Point (-494.0 20.6 -47.8)",1,0,99,"(-494.0, 20.6, -47.8)"
Spawn Point Wander,"Spawn Point (213.5 -14.7 292.0)",1,0,99,"(213.5, -14.7, 292.0)"
Spawn Point Wander,"Spawn Point (-270.1 20.6 -439.8)",1,0,99,"(-270.1, 20.6, -439.8)"
Spawn Point Wander,"Spawn Point (-522.1 8.3 97.2)",1,0,99,"(-522.1, 8.3, 97.2)"
Spawn Point Wander,"Spawn Point (472.0 -18.4 229.5)",1,0,99,"(472.0, -18.4, 229.5)"
Spawn Point Wander,"Spawn Point (-301.8 14.9 -393.7)",1,0,99,"(-301.8, 14.9, -393.7)"
Spawn Point Wander,"Spawn Point (-516.1 21.5 -20.1)",1,0,99,"(-516.1, 21.5, -20.1)"
Spawn Point Wander,"Spawn Point (-280.3 -0.9 332.9)",1,0,99,"(-280.3, -0.9, 332.9)"
Spawn Point Wander,"Spawn Point (-260.7 10.4 -639.8)",1,0,99,"(-260.7, 10.4, -639.8)"
Spawn Point Wander,"Spawn Point (-352.3 -8.3 132.1)",1,0,99,"(-352.3, -8.3, 132.1)"
Spawn Point Wander,"Spawn Point (-537.1 -1.3 294.6)",1,0,99,"(-537.1, -1.3, 294.6)"
Spawn Point Wander,"Spawn Point (372.9 15.3 -695.6)",1,0,99,"(372.9, 15.3, -695.6)"
Spawn Point Wander,"Spawn Point (228.4 -8.2 199.4)",1,0,99,"(228.4, -8.2, 199.4)"
Spawn Point Wander,"Spawn Point (307.8 12.6 -553.2)",1,0,99,"(307.8, 12.6, -553.2)"
Spawn Point Wander,"Spawn Point (263.9 17.3 -762.5)",1,0,99,"(263.9, 17.3, -762.5)"
Spawn Point Wander,"Spawn Point (487.4 -18.4 334.5)",1,0,99,"(487.4, -18.4, 334.5)"
Spawn Point Wander,"Spawn Point (-621.0 14.9 -328.7)",1,0,99,"(-621.0, 14.9, -328.7)"
Spawn Point Wander,"Spawn Point (-293.7 29.0 -199.7)",1,0,99,"(-293.7, 29.0, -199.7)"
Spawn Point Wander,"Spawn Point (-517.1 14.2 -160.3)",1,0,99,"(-517.1, 14.2, -160.3)"
Spawn Point Wander,"Spawn Point (-389.7 14.5 -423.3)",1,0,99,"(-389.7, 14.5, -423.3)"
Spawn Point Wander,"Spawn Point (465.3 -15.2 177.8)",1,0,99,"(465.3, -15.2, 177.8)"
Spawn Point Wander,"Spawn Point (464.2 -15.0 176.2)",1,0,99,"(464.2, -15.0, 176.2)"
Spawn Point Wander,"Spawn Point (-524.2 -2.6 220.3)",1,0,99,"(-524.2, -2.6, 220.3)"
Spawn Point Wander,"Spawn Point (487.4 -18.8 332.6)",1,0,99,"(487.4, -18.8, 332.6)"
Spawn Point Wander,"Spawn Point (-530.8 13.8 -404.1)",1,0,99,"(-530.8, 13.8, -404.1)"
Spawn Point Wander,"Spawn Point (63.3 9.0 -661.4)",1,0,99,"(63.3, 9.0, -661.4)"
