Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (-2.8 -2.6 18.5)",1,0,99,"(-2.8, -2.6, 18.5)"
Spawn Point Wander,"Spawn Point (2.4 -2.6 49.4)",1,0,99,"(2.4, -2.6, 49.4)"
Spawn Point Wander,"Spawn Point (41.1 -2.6 -9.5)",1,0,99,"(41.1, -2.6, -9.5)"
Spawn Point Wander,"Spawn Point (32.2 0.1 -31.6)",1,0,99,"(32.2, 0.1, -31.6)"
Spawn Point Wander,"Spawn Point (32.7 0.1 -35.5)",1,0,99,"(32.7, 0.1, -35.5)"
Spawn Point Wander,"Spawn Point (-4.3 -2.6 14.3)",1,0,99,"(-4.3, -2.6, 14.3)"
Spawn Point Wander,"Spawn Point (58.4 0.3 52.7)",1,0,99,"(58.4, 0.3, 52.7)"
Spawn Point Wander,"Spawn Point (4.0 -2.6 50.7)",1,0,99,"(4.0, -2.6, 50.7)"
Spawn Point Wander,"Spawn Point (-44.0 1.4 50.1)",1,0,99,"(-44.0, 1.4, 50.1)"
Spawn Point Wander,"Spawn Point (-6.8 0.2 10.0)",1,0,99,"(-6.8, 0.2, 10.0)"
Spawn Point Wander,"Spawn Point (-19.1 0.3 -43.2)",1,0,99,"(-19.1, 0.3, -43.2)"
Spawn Point Wander,"Spawn Point (23.8 -2.6 -30.7)",1,0,99,"(23.8, -2.6, -30.7)"
Spawn Point Wander,"Spawn Point (-1.1 -2.6 -7.1)",1,0,99,"(-1.1, -2.6, -7.1)"
Spawn Point Wander,"Spawn Point (8.5 0.0 -43.6)",1,0,99,"(8.5, 0.0, -43.6)"
Spawn Point Wander,"Spawn Point (35.4 0.1 -34.5)",1,0,99,"(35.4, 0.1, -34.5)"
Spawn Point Wander,"Spawn Point (-6.7 -2.6 17.3)",1,0,99,"(-6.7, -2.6, 17.3)"
Spawn Point Wander,"Spawn Point (18.6 -2.7 -15.7)",1,0,99,"(18.6, -2.7, -15.7)"
Spawn Point Wander,"Spawn Point (39.6 -2.6 -9.1)",1,0,99,"(39.6, -2.6, -9.1)"
Spawn Point Wander,"Spawn Point (60.1 0.3 52.6)",1,0,99,"(60.1, 0.3, 52.6)"
Spawn Point Wander,"Spawn Point (30.3 0.1 21.7)",1,0,99,"(30.3, 0.1, 21.7)"
Spawn Point Wander,"Spawn Point (-0.7 -2.6 50.6)",1,0,99,"(-0.7, -2.6, 50.6)"
Spawn Point Wander,"Spawn Point (36.0 1.1 38.3)",1,0,99,"(36.0, 1.1, 38.3)"
Spawn Point Wander,"Spawn Point (-5.9 0.1 -27.5)",1,0,99,"(-5.9, 0.1, -27.5)"
Spawn Point Wander,"Spawn Point (-22.2 2.7 30.4)",1,0,99,"(-22.2, 2.7, 30.4)"
Spawn Point Wander,"Spawn Point (15.0 4.6 35.2)",1,0,99,"(15.0, 4.6, 35.2)"
Spawn Point Wander,"Spawn Point (14.9 4.6 37.8)",1,0,99,"(14.9, 4.6, 37.8)"
Spawn Point Wander,"Spawn Point (72.1 0.3 -73.9)",1,0,99,"(72.1, 0.3, -73.9)"
Spawn Point Wander,"Spawn Point (-44.3 1.3 46.3)",1,0,99,"(-44.3, 1.3, 46.3)"
Spawn Point Wander,"Spawn Point (34.4 0.1 -33.3)",1,0,99,"(34.4, 0.1, -33.3)"
Spawn Point Wander,"Spawn Point (41.2 -2.6 -7.6)",1,0,99,"(41.2, -2.6, -7.6)"
Spawn Point Wander,"Spawn Point (69.2 0.3 -73.4)",1,0,99,"(69.2, 0.3, -73.4)"
Spawn Point Wander,"Spawn Point (-42.9 1.1 39.1)",1,0,99,"(-42.9, 1.1, 39.1)"
Spawn Point Wander,"Spawn Point (31.8 0.2 -0.3)",1,0,99,"(31.8, 0.2, -0.3)"
Spawn Point Wander,"Spawn Point (12.6 1.2 52.7)",1,0,99,"(12.6, 1.2, 52.7)"
Spawn Point Wander,"Spawn Point (-19.9 1.1 62.9)",1,0,99,"(-19.9, 1.1, 62.9)"
Spawn Point Wander,"Spawn Point (-0.2 -3.9 -14.3)",1,0,99,"(-0.2, -3.9, -14.3)"
Spawn Point Wander,"Spawn Point (22.4 0.9 4.3)",1,0,99,"(22.4, 0.9, 4.3)"
Spawn Point Wander,"Spawn Point (28.7 0.1 17.5)",1,0,99,"(28.7, 0.1, 17.5)"
Spawn Point Wander,"Spawn Point (-6.5 -2.6 15.8)",1,0,99,"(-6.5, -2.6, 15.8)"
Spawn Point Wander,"Spawn Point (38.8 -2.6 -7.7)",1,0,99,"(38.8, -2.6, -7.7)"
Spawn Point Wander,"Spawn Point (14.0 1.2 58.1)",1,0,99,"(14.0, 1.2, 58.1)"
Spawn Point Wander,"Spawn Point (26.5 -2.5 -34.4)",1,0,99,"(26.5, -2.5, -34.4)"
Spawn Point Wander,"Spawn Point (58.2 -2.6 6.2)",1,0,99,"(58.2, -2.6, 6.2)"
Spawn Point Wander,"Spawn Point (35.9 4.6 35.3)",1,0,99,"(35.9, 4.6, 35.3)"
Spawn Point Wander,"Spawn Point (20.3 -2.7 -13.4)",1,0,99,"(20.3, -2.7, -13.4)"
Spawn Point Wander,"Spawn Point (30.8 0.3 15.2)",1,0,99,"(30.8, 0.3, 15.2)"
Spawn Point Wander,"Spawn Point (18.6 -2.7 -14.0)",1,0,99,"(18.6, -2.7, -14.0)"
Spawn Point Wander,"Spawn Point (-32.1 -2.6 30.0)",1,0,99,"(-32.1, -2.6, 30.0)"
Spawn Point Wander,"Spawn Point (15.5 4.6 36.6)",1,0,99,"(15.5, 4.6, 36.6)"
Spawn Point Wander,"Spawn Point (57.1 -2.6 7.1)",1,0,99,"(57.1, -2.6, 7.1)"
Spawn Point Wander,"Spawn Point (3.7 -2.6 48.0)",1,0,99,"(3.7, -2.6, 48.0)"
Spawn Point Wander,"Spawn Point (-22.2 2.7 29.2)",1,0,99,"(-22.2, 2.7, 29.2)"
Spawn Point Wander,"Spawn Point (13.8 1.1 54.6)",1,0,99,"(13.8, 1.1, 54.6)"
Spawn Point Wander,"Spawn Point (-5.6 -2.6 14.8)",1,0,99,"(-5.6, -2.6, 14.8)"
Spawn Point Wander,"Spawn Point (55.5 -2.6 6.4)",1,0,99,"(55.5, -2.6, 6.4)"
Spawn Point Wander,"Spawn Point (31.8 0.1 19.4)",1,0,99,"(31.8, 0.1, 19.4)"
Spawn Point Wander,"Spawn Point (-22.2 2.7 25.6)",1,0,99,"(-22.2, 2.7, 25.6)"
Spawn Point Wander,"Spawn Point (-0.1 -2.6 48.7)",1,0,99,"(-0.1, -2.6, 48.7)"
Spawn Point Wander,"Spawn Point (-22.2 2.7 31.5)",1,0,99,"(-22.2, 2.7, 31.5)"
Spawn Point Wander,"Spawn Point (15.0 0.1 3.8)",1,0,99,"(15.0, 0.1, 3.8)"
Spawn Point Wander,"Spawn Point (61.5 -2.6 6.4)",1,0,99,"(61.5, -2.6, 6.4)"
Spawn Point Wander,"Spawn Point (2.1 1.1 63.1)",1,0,99,"(2.1, 1.1, 63.1)"
Spawn Rush,"Spawn Rush: Objective #1",1,0,99,"(69.2, 0.3, -73.4)"
3rd Floor Office Rush,"3rd Floor Office Rush: Objective #1",2,0,99,"(19.7, 8.1, 39.3)"
3rd Floor Office Rush,"3rd Floor Office Rush: Objective #2",4,0,99,"(16.8, 8.3, 40.6)"
3rd Floor Office,"3rd Floor Office: Objective #1",2,0,99,"(19.7, 8.1, 39.3)"
1st Floor Office,"1st Floor Office: Objective #1",1,0,99,"(27.9, 1.0, 45.5)"
1st Floor Office,"1st Floor Office: Objective #2",1,0,99,"(22.0, 1.0, 41.5)"
1st Floor Office,"1st Floor Office: Objective #3",1,0,99,"(13.1, 1.0, 39.8)"
Med Tent,"Med Tent: Objective #1",2,0,99,"(-16.2, 0.1, -25.8)"
Forklift,"Forklift: Objective #1",1,0,99,"(65.9, 0.1, -44.2)"
Boilers,"Boilers: Objective #1",2,0,99,"(51.2, 4.1, 10.6)"
Dumpster Hiding,"Dumpster Hiding: Objective #1",2,0,20,"(32.6, 0.1, -0.2)"
Timmy's Forklift Hiding Spot,"Timmy's Forklift Hiding Spot: Objective #1",2,0,10,"(69.1, 0.3, -65.6)"
Pumping Station Roof,"Pumping Station Roof: Objective #1",2,0,99,"(38.0, 3.2, -11.4)"
Unloading Area Rafters,"Unloading Area Rafters: Objective #1",2,0,99,"(50.3, 8.3, 15.6)"
Workshop Area Rafters,"Workshop Area Rafters: Objective #1",2,0,99,"(21.5, 8.4, 14.2)"
Basement Intersection Camping,"Basement Intersection Camping: Objective #1",2,0,99,"(19.4, -2.6, -14.9)"
Engineer's Office,"Engineer's Office: Objective #1",1,10,99,"(31.1, 8.1, 39.5)"
Crates Outside of Stairwell,"Crates Outside of Stairwell: Objective #1",2,0,99,"(34.8, 0.1, 21.2)"
Crates Near Lower Platform,"Crates Near Lower Platform: Objective #1",2,0,99,"(-8.9, 0.1, 36.8)"
Basement Crates,"Basement Crates: Objective #1",1,0,99,"(15.5, -2.7, -32.5)"
Basement Crates,"Basement Crates: Objective #2",1,0,99,"(-8.3, -3.8, -33.3)"
NE Crates in Workshop,"NE Crates in Workshop: Objective #1",1,0,99,"(19.6, 0.1, -29.9)"
Weapon Crates outside Office,"Weapon Crates outside Office: Objective #1",1,0,99,"(20.6, 0.1, 24.5)"
Crates Outside of Gate 3,"Crates Outside of Gate 3: Objective #1",1,0,99,"(59.5, 0.1, 23.1)"
Crates Outside of Scav Bunker,"Crates Outside of Scav Bunker: Objective #1",1,0,99,"(-19.2, 2.8, 25.5)"
Holding Area Patrol,"Holding Area Patrol: Objective #1",1,0,99,"(-24.8, 1.1, 54.6)"
Bathroom Key Spawns,"Bathroom Key Spawns: Objective #1",1,0,99,"(17.4, 4.6, 40.4)"
Bathroom Key Spawns,"Bathroom Key Spawns: Objective #2",1,0,99,"(31.2, 4.6, 48.2)"
3rd Floor Hallway,"3rd Floor Hallway: Objective #1",1,0,99,"(23.1, 8.1, 35.2)"
Break Room,"Break Room: Objective #1",1,0,99,"(44.3, 4.4, 40.5)"
Silos,"Silos: Objective #1",1,0,99,"(18.1, 0.1, 1.4)"
Silos,"Silos: Objective #2",1,0,99,"(0.7, 0.1, 8.0)"
Kitchen,"Kitchen: Objective #1",1,0,99,"(32.8, 0.1, -32.3)"
Kitchen,"Kitchen: Objective #2",1,0,99,"(29.1, 0.1, -32.9)"
Customs Transit Jackets,"Customs Transit Jackets: Objective #1",1,0,99,"(16.0, 0.1, -37.6)"
Medical Office,"Medical Office: Objective #1",1,0,99,"(28.2, 3.6, -31.1)"
Medical Office,"Medical Office: Objective #2",1,0,99,"(29.5, 3.6, -18.8)"
TerraGroup Storage Room,"TerraGroup Storage Room: Objective #1",2,15,99,"(-22.6, -2.6, 45.8)"
Motor Spawn Crate,"Motor Spawn Crate: Objective #1",1,0,99,"(-24.7, 1.1, 65.5)"
Electrical Room,"Electrical Room: Objective #1",1,0,99,"(1.6, -2.6, 52.6)"
Office Basement,"Office Basement: Objective #1",1,0,99,"(10.6, -2.4, 40.9)"
Crate Near Cellars,"Crate Near Cellars: Objective #1",1,0,99,"(49.1, -2.6, -22.2)"
Pumping Station Basement,"Pumping Station Basement: Objective #1",1,0,99,"(39.3, -2.6, -14.8)"
Create Near Forklift Basement,"Create Near Forklift Basement: Objective #1",1,0,99,"(33.8, -2.6, -26.8)"
Dead Scav Room,"Dead Scav Room: Objective #1",1,0,99,"(-21.5, 0.1, 23.6)"
Boilers Basement,"Boilers Basement: Objective #1",1,0,99,"(68.7, -2.7, 12.3)"
Gate 2,"Gate 2: Objective #1",1,0,99,"(42.9, 0.3, -51.7)"
Gate 0,"Gate 0: Objective #1",4,10,99,"(-54.8, 1.3, 57.0)"
Med Tent Gate,"Med Tent Gate: Objective #1",4,10,99,"(-19.4, 0.3, -50.8)"
Gate 3 Entrance,"Gate 3 Entrance: Objective #1",4,0,99,"(60.7, 0.3, 43.7)"
Gate 3 Camping,"Gate 3 Camping: Objective #1",2,0,99,"(54.2, 0.1, 25.5)"
NE Overlook Sniping,"NE Overlook Sniping: Objective #1",2,0,99,"(26.9, 7.2, -34.2)"
NE Overlook Sniping,"NE Overlook Sniping: Objective #2",2,0,99,"(26.6, 7.2, -26.3)"
NE Overlook Sniping,"NE Overlook Sniping: Objective #3",2,0,99,"(32.7, 7.2, -18.1)"
Forklift Overlook Sniping,"Forklift Overlook Sniping: Objective #1",2,0,99,"(35.2, 3.3, -13.1)"
Lower Platform Overlook Sniping,"Lower Platform Overlook Sniping: Objective #1",1,0,99,"(5.7, 7.5, 59.0)"
Lower Platform Overlook Sniping,"Lower Platform Overlook Sniping: Objective #2",2,0,99,"(4.8, 7.3, 63.8)"
Lower Platform Gate 0 Sniping,"Lower Platform Gate 0 Sniping: Objective #1",1,0,99,"(-39.4, 7.5, 50.1)"
Lower Platform Gate 0 Sniping,"Lower Platform Gate 0 Sniping: Objective #2",2,0,99,"(-40.1, 7.5, 62.6)"
Bridge Sniping,"Bridge Sniping: Objective #1",2,0,99,"(33.5, 7.2, -30.3)"
Bridge Sniping,"Bridge Sniping: Objective #2",2,0,99,"(33.9, 7.8, 20.7)"
Outside Sniping,"Outside Sniping: Objective #1",2,0,99,"(9.9, 3.7, -37.5)"
Silos Overlook Sniping,"Silos Overlook Sniping: Objective #1",2,0,99,"(-21.5, 0.1, 23.6)"
